name,state,postcode,size_kw,accreditation_date,latitude,longitude,aemo_registered,aemo_duid,aemo_registration_type,url
Caboolture Square Shopping Centre,QLD,4510,520.4,2018-06-12,-27.085498,152.9486091,No,,N/A,
Calamvale Central Shopping Center,QLD,4116,852.4,2020-03-26,-27.613172,153.054427,No,,N/A,
Callister St Shepparton,VIC,3630,750.6,2018-01-02,-36.386842,145.415772,No,,N/A,
Calvary Christian College,QLD,4814,230.8,2018-07-30,-19.269212,146.738323,No,,N/A,
Camberwell Grammar,VIC,3126,888.5,2018-09-27,-37.816427,145.066989,No,,N/A,
Campbells River Pump,NSW,2675,131.0,2016-11-23,-33.687983,149.628193,No,,N/A,
Canberra Hospital Building 26,ACT,2605,480.0,2016-11-23,-35.346705,149.101134,No,,N/A,
Broadway Fair,WA,6009,312.8,2016-05-16,-31.983981,115.815092,No,,N/A,
Cannington Solar Project,QLD,4823,3132.0,2019-01-09,-21.85314,140.916514,No,,N/A,
Ivankovich Farms,WA,6220,307.9,2019-01-11,-33.041407,115.92455,No,,N/A,
Caroona,SA,5700,1980.0,2020-09-18,-32.527395,137.72369,No,,N/A,
Casslis,VIC,3198,162.2,2018-05-25,-38.0971395,145.1476835,No,,N/A,
Castlemaine Health,VIC,3450,199.7,2020-08-12,-37.052385,144.212223,No,,N/A,
Casuarina Square Solar PV System,NT,0810,1252.9,2015-10-19,-12.37532,130.881114,No,,N/A,
Catholic Regional College Caroline Springs Solar,VIC,3023,200.0,2019-03-25,-37.730217,144.739423,No,,N/A,
Catholic Regional College Melton Solar,VIC,3337,299.8,2019-03-14,-37.676478,144.550387,No,,N/A,
Catholic Regional College North Keilor,VIC,3038,249.9,2019-04-23,-37.699559,144.804617,No,,N/A,
Catholic Regional College St Albans ,VIC,3021,160.0,2018-09-27,-37.738636,144.798994,No,,N/A,
Catholic Regional College Sydenham,VIC,3037,499.8,2019-03-15,-37.698206,144.770791,No,,N/A,
Homeworld,WA,6163,300.8,2019-10-08,-32.063084,115.795233,No,,N/A,
CCA Richlands,QLD,4077,1116.1,2019-10-18,-27.590072,152.953392,No,,N/A,
Total Food Distributor,WA,6163,300.1,2019-11-12,-32.058291,115.780619,No,,N/A,
CCS Media,NSW,2128,150.0,2016-09-21,-33.839265,151.048076,No,,N/A,
Cedar Meats,VIC,3012,199.8,2017-02-22,-37.818954,144.83602,No,,N/A,
Central Highlands Regional Council,QLD,4720,168.6,2019-07-22,-23.807488,147.66547,No,,N/A,
CEVA,VIC,3029,300.0,2016-11-11,-37.801914,144.741132,No,,N/A,
CHAH01 Laverton,VIC,3029,450.1,2018-08-14,-37.833286,144.763996,No,,N/A,
CHAH02Charter Hall Lion Nathan,NSW,2190,600.2,2019-06-24,-33.891054,151.043588,No,,N/A,
CHAH03GWA Prestons,NSW,2170,249.7,2019-08-21,-33.937427,150.88139,No,,N/A,
Chanel College West Gladstone,QLD,4680,300.4,2019-09-03,-23.866446,151.242951,No,,N/A,
Charles Darwin University,NT,0810,256.0,2016-12-20,-12.371341,130.868217,No,,N/A,
CSU Albury,NSW,2640,435.8,2019-04-11,-37.822212,145.296457,No,,N/A,
CSU Orange,NSW,2800,640.8,2020-02-14,-33.848828,150.919617,No,,N/A,
CSUWagga Wagga,NSW,2650,1769.1,2017-06-29,-33.83208,151.201581,No,,N/A,
Chempack Derrimut,VIC,3030,198.2,2018-06-06,-37.8086112,144.7755314,No,,N/A,
Marble Bar,WA,6760,300.0,2010-05-18,-21.168137,119.745603,No,,N/A,
Childers Solar Farm,QLD,4660,75091.5,2018-12-17,-25.237452,152.277718,Yes,CHILDSF1,Semi-Scheduled,
Chillamurra Solar,NSW,2409,4770.0,2017-05-31,-28.551116,150.30027,No,,N/A,
Christadelphian Homes Maranatha Solar System,QLD,4503,249.6,2018-05-18,-27.2452907,153.0093905,No,,N/A,
Churchill Abattoir Solar,QLD,4305,907.2,2017-05-08,-27.64876,152.740598,No,,N/A,
Bidvest Bibra Lake ,WA,6163,290.0,2014-11-05,-32.108531,115.821261,No,,N/A,
CISAC Bruce,ACT,2617,249.4,2019-12-09,-35.242072,149.075022,No,,N/A,
City of Onkaparinga Field Operations Centre,SA,5169,119.1,2020-06-16,-35.177681,138.490339,No,,N/A,
Civardi Furniture PTY LTD,NSW,2116,198.9,2020-09-22,-33.813467,151.030284,No,,N/A,
CarnarvonMassey Bay RoadSolar Farm,WA,6701,290.0,2012-02-07,-24.900435,113.674941,No,,N/A,
West Coast Eagles,WA,6100,287.1,2021-02-05,-31.973393,115.908189,No,,N/A,https://environmentvictoria.org.au/2018/09/27/afl-solar-ladder/
Scotch College Senior School Solar,WA,6010,280.5,2019-01-02,-31.980716,115.772128,No,,N/A,
Coogee Chemicals Lot 506,WA,6167,267.8,2019-10-21,-32.244702,115.773704,No,,N/A,
SCV Canning Vale,WA,6155,250.8,2018-08-31,-31.7852579,115.9676215,No,,N/A,
Clare Solar Farm,QLD,4807,127822.5,2018-03-16,-19.839664,147.210633,Yes,CLARESF1,Semi-Scheduled,
CleanPeak EnergyAllenstown,QLD,4700,504.4,2021-01-04,-23.388911,150.50435,No,,N/A,
CleanPeak EnergyAtherton,QLD,4883,170.2,2021-01-04,-17.26555457,145.4786165,No,,N/A,
CleanPeak EnergyBass Hill ,NSW,2197,1023.4,2021-01-04,-33.899545,150.993589,No,,N/A,
Bateau Bay,NSW,2261,1684.8,2020-02-21,-33.374545,151.472405,No,,N/A,
Bribie Island,QLD,4507,612.4,2019-10-23,-27.063954,153.157608,No,,N/A,
CleanPeak EnergyCarnes Hill,NSW,2171,836.9,2021-01-04,-33.937641,150.84559,No,,N/A,
Currimundi Markets,QLD,4551,374.4,2019-08-29,-26.772729,153.122504,No,,N/A,
CleanPeak EnergyDubbo,NSW,2830,500.9,2021-03-31,-32.25273256,148.6163325,No,,N/A,
CleanPeak EnergyGoulburn,NSW,2580,752.4,2021-01-04,-34.73578,149.74555,No,,N/A,
Griffin Plaza,NSW,2680,365.6,2018-04-06,-34.2908823,146.0542262,No,,N/A,
Lansell Square,VIC,3555,1077.9,2020-04-09,-36.810061,144.243314,No,,N/A,
CleanPeak EnergyOrange,NSW,2800,406.8,2020-12-22,-33.277548,149.097728,No,,N/A,
Salamander Bay,NSW,2317,951.7,2020-05-19,-32.735728,152.106678,No,,N/A,
Southgate Square,SA,5162,744.1,2020-04-22,-35.106297,138.520227,No,,N/A,
CleanPeak EnergySydney St,QLD,4740,294.8,2021-01-04,-21.143961,149.187427,No,,N/A,
Tamworth Square,NSW,2340,257.4,2019-08-05,-31.092458,150.932584,No,,N/A,
Primo Wacol,QLD,4076,3201.0,2018-11-05,-27.595521,152.935765,No,,N/A,
Clermont Solar Farm,QLD,4721,89215.7,2019-06-18,-22.83881,147.581024,Yes,CLERMSF1,Semi-Scheduled,
Club Central Menai,NSW,2234,264.6,2019-07-11,-34.013561,151.017131,No,,N/A,
Club Mulwala,NSW,2647,296.0,2020-03-20,-36.00306,146.001141,No,,N/A,
CMTP Solar Colac,VIC,3250,290.2,2018-04-27,-38.3321782,143.5078107,No,,N/A,
CMTP Solar Dandenong,VIC,3175,218.7,2018-04-06,-38.0081073,145.2031512,No,,N/A,
Horizon Power Murchison Radioastronomy Observatory Solar Farm,WA,6630,250.0,2017-01-17,-26.76772,116.189784,No,,N/A,
CocaCola AmatilEastern Creek,NSW,2766,1826.5,2020-03-11,-33.818177,150.846759,No,,N/A,
SPL,WA,6109,249.7,2019-10-30,-32.04356,115.989254,No,,N/A,
Cochlear Macquarie Park Solar,NSW,2113,178.1,2019-02-20,-33.776647,151.113579,No,,N/A,
Coogee Chemicals Lot 2,WA,6167,243.9,2019-10-21,-32.244702,115.773704,No,,N/A,
Cohuna Solar Farm,VIC,3567,34241.8,2020-04-15,-35.882505,144.217092,Yes,COHUNA,Semi-Scheduled,
Colac Area Health,VIC,3250,248.8,2020-12-24,-38.34142029,143.5834412,No,,N/A,
ColdXpress Rowville,VIC,3178,696.9,2020-02-12,-37.927314,145.218852,No,,N/A,
Coleambally Solar Farm,NSW,2707,188679.9,2018-09-06,-34.744735,145.955635,Yes,COLEASF1,Semi-Scheduled,
Bunnings Australind,WA,6233,240.5,2020-07-24,-33.2808,115.744865,No,,N/A,
Bunnings Wangara,WA,6065,240.2,2019-10-29,-31.803352,115.836563,No,,N/A,
Coles Kings Langley,NSW,2147,181.0,2021-01-20,-33.743344,150.923478,No,,N/A,
Coles Morisset Square,NSW,2264,252.3,2021-01-20,-33.106639,151.487674,No,,N/A,
Perth Zoo Bus Port,WA,6151,238.7,2012-05-17,-31.975805,115.851727,No,,N/A,
Scotch College Junior School Solar,WA,6010,233.0,2019-01-02,-31.980716,115.772128,No,,N/A,
Collins TransportWingfield,SA,5013,499.9,2020-04-06,-34.840989,138.57473,No,,N/A,
Complete Colour Cheltenham,VIC,3192,200.2,2018-10-29,-37.958661,145.073086,No,,N/A,
Complete Food Services Preston,VIC,3072,200.0,2015-08-31,-37.751825,145.024874,No,,N/A,
Complete Office Supplies,NSW,2141,270.0,2019-11-01,-33.853044,151.043336,No,,N/A,
Condabilla Fish,QLD,4413,144.0,2016-01-18,-26.878287,150.38412,No,,N/A,
Condamine Solar Farm,QLD,4416,299.7,2018-08-31,-26.899629,149.854651,No,,N/A,
Confoil Bayswater,VIC,3153,500.5,2019-11-08,-37.842066,145.246246,No,,N/A,
Conga Foods Coburg,VIC,3058,460.0,2018-08-07,-37.727364,144.975926,No,,N/A,
Coober Pedy,SA,5723,1000.0,2017-02-28,-29.020681,134.769862,No,,N/A,
BG Fields,WA,6232,229.9,2019-06-24,-33.314376,115.720686,No,,N/A,
Mawson Trig,WA,6383,207.9,2020-05-29,-31.984262,117.189729,No,,N/A,
Coomealla Memorial Sporting Club,NSW,2717,284.2,2019-07-02,-34.095098,142.039578,No,,N/A,
Coomera Anglican College Upper Coomera,QLD,4209,212.5,2019-10-18,-27.847424,153.298351,No,,N/A,
Coomera Anglican,QLD,4209,251.3,2018-07-25,-27.855979,153.30542,No,,N/A,
Coomera Indoor Sports Centre,QLD,4209,440.3,2020-04-16,-27.865739,153.319478,No,,N/A,
Cootamundra Oil Seed,NSW,2590,468.7,2015-11-10,-34.648293,148.022371,No,,N/A,
Corowa RSL Club,NSW,2646,406.0,2020-02-12,-35.995241,146.386838,No,,N/A,
Corowa Solar Farm,NSW,2646,39417.8,2021-02-12,-35.979071,146.359643,Yes,CRWASF1,Semi-Scheduled,""
St Hildas Bayview Tce,WA,6012,207.9,2020-09-16,-32.004979,115.767617,No,,N/A,
Corringle Furniture,VIC,3134,129.8,2018-05-21,-37.82296,145.2174452,No,,N/A,
Costco Adelaide,SA,5084,1000.1,2020-04-01,-34.863408,138.580879,No,,N/A,
Costco Crossroads,NSW,2170,970.2,2020-12-21,-33.959352,150.878423,No,,N/A,
Costco Marsden Park,NSW,2765,907.7,2020-12-14,-33.722931,150.840267,No,,N/A,
Costco North Lakes,QLD,4509,1099.9,2020-04-01,-27.213855,152.995018,No,,N/A,
Costco Oakdale,NSW,2178,1000.0,2020-04-01,-33.838228,150.812647,No,,N/A,
Country Pride Eggs,VIC,3977,264.0,2019-11-12,-38.180143,145.302536,No,,N/A,
Cowboys Power Station,QLD,4810,178.3,2019-05-20,-19.340661,147.025843,No,,N/A,
CRG Logistics,VIC,3029,300.0,2016-03-02,-37.817869,144.744197,No,,N/A,
Crown Melbourne,VIC,3006,299.9,2018-02-09,-37.823739,144.95823,No,,N/A,
Crowne Plaza Alice Springs,NT,0870,304.0,2009-06-18,-23.714472,133.881372,No,,N/A,http://www.commsolar.com.au/expertise/commercial-rooftop-solar-pv/adelaide-showground-2/
Todae SolarCRSL Caboolture,QLD,4510,131.8,2019-07-18,-33.748214,150.853956,No,,N/A,
Crystal Brook Depot,SA,5523,109.9,2018-09-14,-33.35253,138.204703,No,,N/A,
CSIRO Food Innovation CentreB2 B4B6,VIC,3030,300.0,2020-02-13,-37.898241,144.680861,No,,N/A,
Fremantle City Cold Stores,WA,6163,204.9,2020-08-06,-32.083395,115.760046,No,,N/A,
CSR Golden Grove,SA,5125,1001.0,2018-05-15,-34.479336,150.845442,No,,N/A,
Culpan Industries Pty Ltd,VIC,3061,151.8,2018-11-22,-37.65948,144.96329,No,,N/A,
dArenberg Winery,SA,5171,200.0,2014-03-25,-35.195861,138.551647,No,,N/A,
Dorsogna Mickleham,VIC,3064,1041.9,2019-11-01,-37.532092,144.940823,No,,N/A,
Daly River Solar Power Station,NT,0822,1023.7,2018-03-08,-13.749841,130.692113,No,,N/A,
Dangrove Art Storage Facility,NSW,2015,192.5,2018-03-26,-33.904839,151.200776,No,,N/A,
Dareton Solar Park,NSW,2717,3732.5,2019-08-16,-34.094861,142.037264,No,,N/A,
Darling Downs Solar Farm,QLD,4406,137592.0,2018-07-27,-27.120874,150.8934,Yes,DDSF1,Semi-Scheduled,""
Darlington Point North Bore,NSW,2706,292.5,2020-05-05,-34.649063,146.034801,No,,N/A,
Darlington Point Solar Farm,NSW,2706,332805.5,2019-12-17,-34.649063,146.034801,Yes,DARLSF1,Semi-Scheduled,""
Darlington Point South Bore,NSW,2706,292.5,2020-05-05,-34.649063,146.034801,No,,N/A,
Davies Bakery Broadmeadows,VIC,3047,350.2,2019-05-15,-37.679376,144.939828,No,,N/A,
Daydream Solar Farm,QLD,4804,180748.8,2018-09-20,-20.511815,147.696982,Yes,DAYDSF1,Semi-Scheduled,
De Bortoli Wines,NSW,2680,230.0,2017-04-11,-34.275966,146.143586,No,,N/A,
Deakin University Waurn Ponds NP,VIC,3216,157.9,2019-06-13,-38.198256,144.298754,No,,N/A,
Deepwater Plaza,NSW,2256,253.4,2021-03-02,-33.489012,151.324085,No,,N/A,
BG Beachside,WA,6035,200.7,2019-05-30,-34.7883781,138.7299371,No,,N/A,
Della Rosa Campbellfield,VIC,3061,525.0,2019-08-01,-37.655447,144.949064,No,,N/A,
Denfood Bairnsdale,VIC,3875,300.0,2020-04-15,-37.840505,147.615927,No,,N/A,
Denmac Darra,QLD,4076,815.0,2019-12-09,-27.573098,152.961787,No,,N/A,
Department of Justice and Community Safety Karreenga Prison,VIC,3212,273.8,2019-10-24,-37.974681,144.349641,No,,N/A,
Department of Justice and Community Safety Middleton Prison,VIC,3450,264.9,2019-12-12,-37.078722,144.238756,No,,N/A,
Department of Justice and Regulation Ararat,VIC,3377,212.3,2020-01-06,-37.28426,142.927212,No,,N/A,
Desert Knowledge Australia Solar Centre,NT,0870,116.1,2015-08-12,-23.761427,133.878684,No,,N/A,
DFO Cairns ,QLD,4870,1302.8,2019-08-29,-16.934331,145.75272,No,,N/A,
DFO Homebush,NSW,2140,1171.9,2019-08-29,-33.855399,151.076903,No,,N/A,
DHL Arndell Park,NSW,2148,170.1,2020-03-09,-33.790996,150.887787,No,,N/A,
DHL6 Solar Horsley Park,NSW,2175,100.0,2017-02-09,-33.822729,150.822863,No,,N/A,
DHLS10,NSW,2175,144.4,2018-01-16,-33.858136,150.855977,No,,N/A,
DHP,QLD,4352,954.1,2017-11-15,-27.463959,153.001655,No,,N/A,
DHP Turallin,QLD,4357,195.8,2019-06-03,-37.904342,145.217121,No,,N/A,
Darwin International Airport Solar Plant Stage 1,NT,0820,4000.0,2016-06-28,-12.407949,130.876981,No,,N/A,
Darwin International Airport Solar Plant Stage 2,NT,0820,1524.0,2016-12-09,-12.407949,130.876981,No,,N/A,
Dicker Data Centre,NSW,2231,278.0,2021-03-22,-34.022489,151.198847,No,,N/A,
Diocese of Sale St Francis Beaconsfield,VIC,3807,199.7,2019-07-09,-38.052484,145.372767,No,,N/A,
Dobinsons SpringSuspension,QLD,4701,518.0,2016-07-26,-23.345526,150.505313,No,,N/A,
Domain Building E,QLD,4814,213.3,2020-10-26,-19.276099,146.758374,No,,N/A,
Domain Building G,QLD,4814,142.2,2020-10-26,-19.276099,146.758374,No,,N/A,
Domain Building I1,QLD,4814,320.0,2020-10-26,-19.276099,146.758374,No,,N/A,
Domain Building I2,QLD,4814,521.4,2020-11-06,-19.276099,146.758374,No,,N/A,
Domain Building M,QLD,4814,120.1,2020-10-26,-19.276099,146.758374,No,,N/A,
Donaldson Australasia Wyong,NSW,2259,300.9,2019-07-04,-33.267961,151.442923,No,,N/A,
Doncaster Secondary,VIC,3108,299.0,2018-02-02,-37.783923,145.138031,No,,N/A,
Doomadgee Solar Farm,QLD,4830,264.0,2013-11-22,-17.939623,138.823285,No,,N/A,http://www.gullensolarfarm.com/
Doone Kennedy Hobart Aquatic Centre,TAS,7000,404.8,2018-10-29,-42.876555,147.332588,No,,N/A,
Doroga Power Station Solar,SA,5700,230.4,2019-02-26,-32.484964,137.77784,No,,N/A,
DORRIEN ESTATE WINERY,SA,5352,380.5,2020-06-28,-34.500118,138.985796,No,,N/A,
Draytons Family Wines,NSW,2320,200.0,2017-05-30,-32.808713,151.283955,No,,N/A,
Drouin Secondary College,VIC,3818,184.8,2019-07-11,-38.145689,145.851165,No,,N/A,
DuluxGroup Mickleham,VIC,3064,303.6,2019-04-04,-37.534933,144.938307,No,,N/A,
Dunblane Solar A,QLD,4725,5449.0,2017-12-06,-23.626928,145.335311,No,,N/A,
Dunblane Solar B,QLD,4725,5449.0,2017-12-06,-23.626928,145.335311,No,,N/A,
Eagle Farm,QLD,4009,151.2,2019-11-15,-27.428889,153.088642,No,,N/A,
Earle Haven Lodges,QLD,4211,150.0,2018-03-27,-27.995392,153.34629,No,,N/A,
Easyrest Pty Ltd,VIC,3175,198.0,2018-06-13,-38.0189849,145.1975798,No,,N/A,
Echuca Solar Project,VIC,3564,8299.2,2019-12-12,-36.192724,144.753955,No,,N/A,
Edlyn Foods Epping,VIC,3076,224.1,2021-02-15,-37.642387,144.999754,No,,N/A,
Edmondson Park Town Centre,NSW,2174,909.5,2020-09-25,-33.970406,150.858505,No,,N/A,
Edmonton WWTP Ground Mount,QLD,4870,259.0,2021-01-22,-16.992801,145.759005,No,,N/A,
Todae Solar EG Berkeley,NSW,2506,140.5,2018-08-28,-28.809799,153.366099,No,,N/A,
Eilbeck Ingleburn Site,NSW,2565,257.9,2021-05-07,-33.99888835,150.8581062,No,,N/A,
Eldercare Evanston Park Nursing Home,SA,5116,150.2,2020-05-26,-34.622258,138.742519,No,,N/A,
Eldercare Hendon Nursing Home,SA,5014,142.8,2020-10-19,-34.873084,138.513531,No,,N/A,
Eldercare Seaford Nursing Home,SA,5169,150.3,2020-05-26,-35.181275,138.480466,No,,N/A,
Eldercare The Lodge Nursing Home,SA,5034,174.1,2020-05-26,-34.945947,138.598616,No,,N/A,
Electrolux Home Products Pty Limited,SA,5008,2600.3,2019-11-12,-34.883826,138.579904,No,,N/A,
Elizabeth Aquadome,SA,5112,254.1,2020-11-19,-34.721652,138.666461,No,,N/A,
Elizabeth Macarthur Agricultural Institute,NSW,2568,586.5,2019-08-07,-34.125576,150.723564,No,,N/A,
Emerald Solar Park,QLD,4720,89630.8,2018-09-18,-23.499574,148.121469,Yes,EMERASF1,Semi-Scheduled,
Emmanuel College Administration,QLD,4211,100.0,2015-07-21,-28.015544,153.370342,No,,N/A,
Emmaus College Main Street,QLD,4701,270.3,2018-09-17,-23.350451,150.521262,No,,N/A,
Emmaus College Yaamba Road,QLD,4701,380.1,2018-09-17,-23.347457,150.523436,No,,N/A,
Emmaus Port Macquarie,NSW,2444,162.0,2019-05-03,-31.464564,152.892081,No,,N/A,
Coles Orana,WA,6330,200.3,2019-07-10,-34.993649,117.855647,No,,N/A,
Enwave Tonsley,SA,5042,2341.3,2020-03-06,-35.009378,138.57108,No,,N/A,
Trundle Solar Farm,NSW,2875,6720.0,2020-09-21,-32.93263505,147.7308089,No,,N/A,
Epiq Marketplace Lennox Head,NSW,2478,298.9,2020-06-30,-28.80723,153.582533,No,,N/A,
ETI Yatala,QLD,4207,173.6,2018-06-08,-27.7587649,153.2328146,No,,N/A,
Euston Club Microgrid,NSW,2737,506.3,2020-12-09,-34.58057623,142.74233,No,,N/A,
Extrusions Australia,VIC,3029,420.0,2020-06-18,-37.806703,144.744873,No,,N/A,
EZYFIT Salisbury South,SA,5106,198.9,2020-01-17,-34.78073,138.647859,No,,N/A,
Fairfield East Solar,NSW,2165,239.7,2019-02-06,-33.874201,150.973226,No,,N/A,
Fairfield Hospital,NSW,2176,658.8,2020-08-31,-33.859907,150.904381,No,,N/A,
Fastrac Foodservices,VIC,3912,174.8,2018-07-16,-38.219113,145.181807,No,,N/A,
Ferguson Plarre,VIC,3042,474.7,2018-08-25,-37.721518,144.844392,No,,N/A,
Ferrero Australia,NSW,2790,219.5,2020-01-29,-33.480112,150.138525,No,,N/A,
Findon Shopping Centre,SA,5023,254.8,2018-05-30,-34.9047096,138.5305719,No,,N/A,
Finley Solar Farm,NSW,2713,175291.1,2019-08-02,-35.644175,145.508612,Yes,FINLYSF1,Semi-Scheduled,
Fivebough SF,NSW,2705,7261.0,2021-05-17,-34.54739251,146.4274626,No,,N/A,https://altenergy.com.au/wp-content/uploads/2020/10/AltEnergy-Project-Update-23-October-2020.pdf
FJ Lenne Ardmona,VIC,3629,500.0,2018-05-09,-36.382066,145.3213933,No,,N/A,
Flame Cut Pty Ltd,NSW,2164,227.3,2020-10-16,-33.837546,150.902596,No,,N/A,
Flavorite Marketing,VIC,3023,149.4,2017-08-21,-37.780493,144.75059,No,,N/A,
Flinders University Solar,SA,5042,1745.1,2019-01-30,-35.023033,138.57092,No,,N/A,
Fragapane Farms,VIC,3030,329.5,2020-12-07,-37.947565,144.708815,No,,N/A,
Fraser Coast Community Solar Farm,QLD,4655,402.6,2013-07-08,-25.343861,152.843996,No,,N/A,
Freedom Foods,VIC,3630,3778.7,2020-01-06,-36.379578,145.42812,No,,N/A,
Howard Porter Bibra Lake Solar,WA,6163,200.3,2019-06-03,-32.114298,115.798312,No,,N/A,
Frewstall,VIC,3380,700.4,2019-11-01,-37.05333,142.757233,No,,N/A,
Friendly Society Private Hospital Bundaberg ,QLD,4670,564.2,2018-09-19,-24.870952,152.342602,No,,N/A,
FS Energy,VIC,3030,270.6,2018-04-23,-37.938058,144.675323,No,,N/A,
Future Bake Noble Park,VIC,3174,200.2,2018-10-29,-37.949953,145.185422,No,,N/A,
G James Smithfield,NSW,2164,965.7,2019-07-11,-33.84746,150.941411,No,,N/A,
Galiwinku Elcho Island Solar Power Station,NT,0822,767.7,2018-12-12,-12.023997,135.571021,No,,N/A,
Gannawarra Solar Farm,VIC,3579,60236.0,2018-03-21,-35.735563,143.781803,Yes,GANNSF1,Semi-Scheduled,
Gapuwiyak Lake Evella Solar Power Station,NT,0880,434.9,2019-02-14,-12.498299,135.80593,No,,N/A,
Gardner Close,QLD,4064,194.6,2020-05-06,-27.473224,153.003916,No,,N/A,
Gateway Shopping Centre Yarrawonga Stage 1,NT,0830,1120.4,2021-02-04,-12.47128757,130.9836102,No,,N/A,
Gatton Solar Research Facility,QLD,4343,3528.0,2015-11-20,-27.553938,152.335739,No,,N/A,
Gazzola Farms Somerville,VIC,3912,250.0,2021-01-25,-38.241349,145.208955,No,,N/A,
GDK,NSW,2164,233.6,2018-12-13,-33.846811,150.914787,No,,N/A,
Geelong Leather Culcairn,NSW,2660,195.3,2019-08-27,-35.664564,146.998566,No,,N/A,
Gemwood,VIC,3168,202.9,2018-08-20,-37.922561,145.14397,No,,N/A,
Genfac Plastics Solar,VIC,3175,1246.2,2019-04-01,-38.03593,145.228202,No,,N/A,
Genis Steel Somerton,VIC,3062,299.6,2020-10-06,-37.628782,144.952679,No,,N/A,
Coles Byford,WA,6122,200.2,2019-07-19,-32.219781,116.006868,No,,N/A,
Giffnock Avenue Macquarie Park,NSW,2113,196.0,2014-07-31,-33.78583,151.126057,No,,N/A,
GilmacGoornong,VIC,3557,466.6,2019-11-28,-36.610428,144.523859,No,,N/A,
Gilmac Balaklava,SA,5461,403.0,2018-06-27,-34.1716513,138.4390098,No,,N/A,
Coles Banksia Grove,WA,6031,200.1,2019-06-26,-31.70555,115.801317,No,,N/A,
Gin Gin and Dry,QLD,4671,203.4,2020-01-30,-25.004774,151.988643,No,,N/A,
Girgarre Solar Project,VIC,3624,8299.2,2019-11-25,-36.425279,144.947112,No,,N/A,
Girgarre Solar Project No 2,VIC,3624,8286.9,2020-12-04,-36.478569,144.947471,No,,N/A,
Givaudan Smithfield,NSW,2164,233.1,2019-09-12,-33.843807,150.944667,No,,N/A,
GL Maryborough,QLD,4650,165.6,2018-08-15,-25.536546,152.703113,No,,N/A,
GL Prince Charles,QLD,4032,331.2,2018-11-09,-27.390367,153.023209,No,,N/A,
Gladstone St,ACT,2609,139.5,2013-08-22,-35.322732,149.180452,No,,N/A,https://www.essentialenergy.com.au/content/capital-east-solar-farm
Glen Eira Sports and Aquatic Centre Bentleigh East,VIC,3165,229.5,2019-08-22,-37.915392,145.06074,No,,N/A,
Glenbarry Rd Campbellfield,VIC,3061,370.5,2018-11-09,-37.664289,144.962077,No,,N/A,
Glenrowan West Solar Farm,VIC,3675,148918.2,2020-12-08,-36.488869,146.149463,Yes,GLRWNSF1,Semi-Scheduled,
Gold Coast Aquatic Centre,QLD,4215,311.1,2019-06-18,-27.963813,153.416011,No,,N/A,
Gold Coast Sports and Leisure Centre,QLD,4211,125.4,2020-08-07,-28.004756,153.364639,No,,N/A,
Gold Coast Stadium Carrara Solar Halo,QLD,4211,216.0,2012-03-02,-28.005241,153.36523,No,,N/A,
Good News Lutheran College,VIC,3029,236.2,2018-04-19,-37.855269,144.666907,No,,N/A,
Goonumbla Solar Farm,NSW,2870,89116.8,2020-06-15,-33.117268,148.076985,Yes,GOONSF1,Semi-Scheduled,
Grace Worldwide Seven Hills,NSW,2147,160.3,2018-07-03,-33.777746,150.953107,No,,N/A,
Coles Riverton,WA,6147,200.1,2019-07-19,-32.039183,115.90729,No,,N/A,
Green Camel Cobbitty,NSW,2570,745.6,2020-02-19,-34.015988,150.671186,No,,N/A,
Green Gold 1,SA,5322,1060.0,2017-12-22,-34.179353,139.926381,No,,N/A,
Green Gold 2 Solar,SA,5342,1080.0,2019-02-20,-34.917059,138.621955,No,,N/A,
Green Gold 3,SA,5342,1140.0,2018-11-05,-34.196944,140.574315,No,,N/A,
Green Peak Energy Essendon,VIC,3040,242.2,2020-02-04,-37.750576,144.913017,No,,N/A,
Amcap Distribution Welshpool Solar,WA,6106,200.0,2015-08-18,-31.993627,115.939042,No,,N/A,
Greta Rd Wangaratta,VIC,3677,114.5,2018-03-29,-36.381635,146.303117,No,,N/A,
Greystanes WIS,NSW,2145,450.7,2018-01-31,-33.823854,150.944052,No,,N/A,
Griffith Solar Farm,NSW,2680,34942.4,2018-01-11,-34.317397,146.120932,Yes,GRIFSF1,Non-Scheduled,
Grizzly Engineering Swan Hill,VIC,3585,199.4,2021-01-28,-35.344014,143.532596,No,,N/A,
GroMor,NSW,2330,1695.2,2019-12-13,-32.633853,151.149967,No,,N/A,
Grundfos Pump,NSW,5010,427.2,2021-01-22,-34.862729,138.570688,No,,N/A,
Gullen Range Solar Farm,NSW,2580,13305.6,2013-11-25,-34.605784,149.462888,Yes,GULLRSF1,Semi-Scheduled,
Gunbalanya Oenpelli Solar Power Station,NT,0822,690.9,2019-03-19,-12.353768,133.04211,No,,N/A,
GVIP Doyles Road Grahamvale,VIC,3631,316.6,2020-05-12,-36.366406,145.432943,No,,N/A,
GVWBroadford WMF,VIC,3658,115.2,2020-06-23,-37.182541,145.040995,No,,N/A,
GVWFryers St Office,VIC,3630,119.2,2020-07-08,-36.379798,145.40226,No,,N/A,
GVWNumurkah WTPNumurkah,VIC,3636,110.4,2020-05-01,-36.062474,145.45925,No,,N/A,
GVWShepparton Aerators North,VIC,3631,252.0,2020-07-17,-36.323965,145.374959,No,,N/A,
